epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.247,1.38838,2.29954,1.5835,0.5476,0.38279,0.37075,0.2303,1.39197,1.76421,1.65239,0.000127731,0.000127731,0.000127731
2,286.7,1.34914,1.63231,1.55714,0.48409,0.41215,0.41051,0.24717,1.39338,1.51456,1.58234,0.000250994,0.000250994,0.000250994
3,428.007,1.32237,1.52802,1.53615,0.45087,0.41318,0.39315,0.23048,1.41488,1.5926,1.60268,0.000369175,0.000369175,0.000369175
4,568.844,1.33242,1.50231,1.54533,0.46696,0.4886,0.49335,0.30506,1.2746,1.38206,1.57413,0.000362131,0.000362131,0.000362131
5,710.09,1.28108,1.37829,1.50154,0.5684,0.46618,0.47715,0.29521,1.2871,1.38907,1.52477,0.000354508,0.000354508,0.000354508
6,850.908,1.24448,1.29262,1.47905,0.53786,0.50665,0.52593,0.35016,1.21027,1.26809,1.44975,0.000346885,0.000346885,0.000346885
7,992.021,1.20503,1.21929,1.45551,0.61163,0.51316,0.57604,0.38301,1.15922,1.18568,1.39895,0.000339262,0.000339262,0.000339262
8,1132.93,1.18045,1.15631,1.43416,0.62734,0.54625,0.58669,0.38153,1.19111,1.14475,1.44842,0.000331639,0.000331639,0.000331639
9,1273.92,1.14527,1.0952,1.4037,0.63136,0.55364,0.63245,0.43506,1.17901,1.1401,1.3993,0.000324016,0.000324016,0.000324016
10,1414.79,1.12899,1.0684,1.39643,0.61225,0.58101,0.61429,0.43562,1.09373,1.09242,1.35901,0.000316393,0.000316393,0.000316393
11,1555.66,1.10209,1.00834,1.37469,0.62556,0.59921,0.60934,0.43004,1.05358,0.99986,1.33111,0.00030877,0.00030877,0.00030877
12,1696.49,1.07701,0.96281,1.356,0.56595,0.65094,0.63312,0.41846,1.12729,1.01373,1.3887,0.000301147,0.000301147,0.000301147
13,1837.47,1.07149,0.93949,1.3479,0.63808,0.60075,0.63956,0.44456,1.10203,0.96936,1.33851,0.000293524,0.000293524,0.000293524
14,1978.42,1.05314,0.91116,1.34128,0.63762,0.6203,0.64183,0.43899,1.12557,1.0027,1.38369,0.000285901,0.000285901,0.000285901
15,2119.35,1.03154,0.88433,1.33286,0.65778,0.5899,0.62634,0.41795,1.09685,0.96086,1.35525,0.000278278,0.000278278,0.000278278
16,2260.16,1.02729,0.87269,1.31528,0.56903,0.66677,0.64769,0.44758,1.05638,0.97487,1.31568,0.000270655,0.000270655,0.000270655
17,2401.28,1.01877,0.84615,1.31076,0.66146,0.6364,0.66593,0.46103,1.08221,0.9245,1.34198,0.000263032,0.000263032,0.000263032
18,2542.19,0.99642,0.81959,1.29747,0.68484,0.63094,0.6701,0.45489,1.04521,0.925,1.30252,0.000255409,0.000255409,0.000255409
19,2683.06,0.97571,0.79685,1.29158,0.7015,0.61829,0.68296,0.48006,1.02948,0.93692,1.3144,0.000247786,0.000247786,0.000247786
20,2824.04,0.97057,0.77867,1.28442,0.69409,0.6213,0.65616,0.46358,1.05346,0.90923,1.30397,0.000240163,0.000240163,0.000240163
21,2965.04,0.96444,0.76119,1.26884,0.70928,0.64574,0.69887,0.49596,1.03656,0.87778,1.298,0.00023254,0.00023254,0.00023254
22,3105.99,0.95332,0.75301,1.26577,0.69811,0.62119,0.66618,0.47807,1.05869,0.94407,1.30535,0.000224917,0.000224917,0.000224917
23,3246.85,0.93926,0.7372,1.25841,0.74286,0.57796,0.67976,0.49704,1.03294,0.91175,1.28365,0.000217294,0.000217294,0.000217294
24,3387.67,0.91827,0.71832,1.24721,0.69328,0.6159,0.66148,0.47466,1.01675,0.89292,1.28815,0.000209671,0.000209671,0.000209671
25,3528.53,0.90879,0.6974,1.23302,0.74307,0.60183,0.68929,0.51533,0.99607,0.84827,1.24792,0.000202048,0.000202048,0.000202048
26,3669.55,0.90297,0.68583,1.22959,0.71024,0.62712,0.67972,0.50769,0.97706,0.86877,1.23465,0.000194425,0.000194425,0.000194425
27,3810.46,0.88939,0.66843,1.22299,0.61219,0.67546,0.6712,0.47957,1.05338,0.89994,1.29842,0.000186802,0.000186802,0.000186802
28,3951.29,0.87599,0.65861,1.21507,0.62453,0.67625,0.68127,0.50687,0.97213,0.83617,1.23936,0.000179179,0.000179179,0.000179179
29,4092.22,0.8674,0.64166,1.20809,0.74808,0.63655,0.70091,0.51287,1.00876,0.85126,1.27164,0.000171556,0.000171556,0.000171556
30,4232.98,0.85647,0.63005,1.20434,0.65319,0.65759,0.68843,0.50255,1.03582,0.87596,1.29716,0.000163933,0.000163933,0.000163933
